# Newsky Schedule Export
# Airline: CPZ - Compass Atlantic
# Date: 2026-07-02 00:51z
#
# <- use hash to add comments.
# Remember to respect headers and proper CSV formatting!
# Empty airframes column with result in ALL available
#
# Start of CSV data:
number,dep,arr,type,duration,mon,tue,wed,thu,fri,sat,sun,airframes,active
1010,KIAD,KTPA,pax,150,true,true,true,true,true,true,true,pax_m,true
1011,KTPA,KIAD,pax,140,true,true,true,true,true,true,true,pax_m,true
1008,KIAD,KBGR,pax,115,true,true,true,true,true,true,true,pax_m,true
1009,KBGR,KIAD,pax,130,true,true,true,true,true,true,true,pax_m,true
1540,KTPA,KEYW,pax,70,true,true,true,true,true,true,true,"A319,B736",true
1545,KEYW,KTPA,pax,75,true,true,true,true,true,true,true,"A319,B736",true
2110,KTPA,MUHA,pax,90,true,true,true,true,true,true,true,pax_m,true
2111,MUHA,KTPA,pax,90,true,true,true,true,true,true,true,pax_m,true
1014,KTPA,KMIA,pax,70,true,true,true,true,true,true,true,pax_m,true
1015,KMIA,KTPA,pax,75,true,true,true,true,true,true,true,pax_m,true
2055,KTPA,MDLR,pax,170,true,true,true,true,true,true,true,pax,true
2056,MDLR,KTPA,pax,185,true,true,true,true,true,true,true,pax,true
2003,KTPA,TJSJ,pax,185,true,true,true,true,true,true,true,pax_m,true
2002,TJSJ,KTPA,pax,205,true,true,true,true,true,true,true,pax_m,true
2008,KTPA,TNCM,pax,200,true,true,true,true,true,true,true,pax_m,true
2009,TNCM,KTPA,pax,225,true,true,true,true,true,true,true,pax_m,true
2010,KTPA,TFFR,pax,220,true,true,true,true,true,true,true,pax_m,true
2011,TFFR,KTPA,pax,245,true,true,true,true,true,true,true,pax_m,true
2130,KTPA,MMMX,pax,200,true,true,true,true,true,true,true,pax_m,true
2132,MMMX,KTPA,pax,200,true,true,true,true,true,true,true,pax_m,true
2080,KTPA,MSLP,pax,180,true,true,true,true,true,true,true,pax_m,true
2088,MSLP,KTPA,pax,175,true,true,true,true,true,true,true,pax_m,true
2090,KTPA,MGGT,pax,180,true,true,true,true,true,true,true,pax_m,true
2093,MGGT,KTPA,pax,170,true,true,true,true,true,true,true,pax_m,true
2098,KTPA,MMUN,pax,120,true,true,true,true,true,true,true,pax_m,true
2099,MMUN,KTPA,pax,110,true,true,true,true,true,true,true,pax_m,true
147,KIAD,EHAM,pax,435,true,true,true,true,true,true,true,pax_xl,true
192,EHAM,KIAD,pax,515,true,true,true,true,true,true,true,pax_xl,true
134,KIAD,EGPF,pax,390,true,true,true,true,true,true,true,pax_xl,true
135,EGPF,KIAD,pax,465,true,true,true,true,true,true,true,pax_xl,true
156,KIAD,EIDW,pax,385,true,true,true,true,true,true,true,pax_xl,true
157,EIDW,KIAD,pax,460,true,true,true,true,true,true,true,pax_xl,true
102,KIAD,KTPA,pax,140,true,true,true,true,true,true,true,pax_xl,true
199,KTPA,KIAD,pax,135,true,true,true,true,true,true,true,pax_xl,true
181,KIAD,EDDS,pax,460,true,true,true,true,true,true,true,pax_xl,true
182,EDDS,KIAD,pax,545,true,true,true,true,true,true,true,pax_xl,true
172,KIAD,LSZH,pax,460,true,true,true,true,true,true,true,pax_xl,true
169,LSZH,KIAD,pax,545,true,true,true,true,true,true,true,pax_xl,true
100,KIAD,LICJ,pax,510,true,true,true,true,true,true,true,pax_xl,true
111,LICJ,KIAD,pax,605,true,true,true,true,true,true,true,pax_xl,true
1666,KTPA,MWCR,pax,120,true,true,true,true,true,true,true,pax_m,true
1699,MWCR,KTPA,pax,120,true,true,true,true,true,true,true,pax_m,true
3181,KIAD,CYUL,pax,105,true,true,true,true,true,true,true,pax_m,true
3180,CYUL,KIAD,pax,110,true,true,true,true,true,true,true,pax_m,true
112,KIAD,EKCH,pax,480,true,true,true,true,true,true,true,pax_xl,true
113,EKCH,KIAD,pax,560,true,true,true,true,true,true,true,pax_xl,true
114,KIAD,LOWW,pax,520,true,true,true,true,true,true,true,pax_xl,true
115,LOWW,KIAD,pax,605,true,true,true,true,true,true,true,pax_xl,true
1114,KIAD,KSYR,pax,80,true,true,true,true,true,true,true,pax_m,true
1115,KSYR,KIAD,pax,85,true,true,true,true,true,true,true,pax_m,true
1116,KIAD,KBUF,pax,85,true,true,true,true,true,true,true,pax_m,true
1117,KBUF,KIAD,pax,90,true,true,true,true,true,true,true,pax_m,true
1118,KIAD,KCMH,pax,90,true,true,true,true,true,true,true,pax_m,true
1119,KCMH,KIAD,pax,80,true,true,true,true,true,true,true,pax_m,true
3101,KIAD,CYQB,pax,120,true,true,true,true,true,true,true,pax_m,true
3102,CYQB,KIAD,pax,120,true,true,true,true,true,true,true,pax_m,true
2801,KTPA,TAPA,pax,215,true,true,true,true,true,true,true,pax_m,true
2804,TAPA,KTPA,pax,225,true,true,true,true,true,true,true,pax_m,true
1215,KTPA,KMIA,pax,70,true,true,true,true,true,true,true,pax_m,true
1902,KIAD,KLAS,pax,315,true,true,true,true,true,true,true,"pax_xs,pax_m",true
1903,KLAS,KIAD,pax,265,true,true,true,true,true,true,true,"pax_xs,pax_m",true
1904,KIAD,KDSM,pax,160,true,true,true,true,true,true,true,"pax_xs,pax_m",true
1905,KDSM,KIAD,pax,140,true,true,true,true,true,true,true,"pax_xs,pax_m",true
1906,KIAD,KMSP,pax,165,true,true,true,true,true,true,true,"pax_xs,pax_m",true
1907,KMSP,KIAD,pax,145,true,true,true,true,true,true,true,"pax_xs,pax_m",true
1908,KIAD,KDTW,pax,95,true,true,true,true,true,true,true,"pax_xs,pax_m",true
1909,KDTW,KIAD,pax,90,true,true,true,true,true,true,true,"pax_xs,pax_m",true
1400,KIAD,KATL,pax,115,true,true,true,true,true,true,true,"pax_m,pax_xl",true
1401,KATL,KIAD,pax,105,true,true,true,true,true,true,true,"pax_m,pax_xl",true
1403,KATL,KTPA,pax,95,true,true,true,true,true,true,true,"pax_m,pax_xl",true
1404,KTPA,KATL,pax,100,true,true,true,true,true,true,true,"pax_m,pax_xl",true
1405,KATL,KMCO,pax,95,true,true,true,true,true,true,true,pax_m,true
1406,KMCO,KATL,pax,100,true,true,true,true,true,true,true,pax_m,true
1407,KATL,KJAX,pax,75,true,true,true,true,true,true,true,pax_m,true
1408,KJAX,KATL,pax,80,true,true,true,true,true,true,true,pax_m,true
